midi_value,note,freq
127,G9,12543.85
126,F#9,11839.82
125,F9,11175.3
124,E9,10548.08
123,D#9,9956.06
122,D9,9397.27
121,C#9,8869.84
120,C9,8372.02
119,B8,7902.13
118,Bb8,7458.62
117,A8,7040
116,G#8,6644.88
115,G8,6271.93
114,F#8,5919.91
113,F8,5587.65
112,E8,5274.04
111,D#8,4978.03
110,D8,4698.64
109,C#8,4434.92
108,C8,4186.01
107,B7,3951.07
106,A#7,3729.31
105,A7,3520
104,G#7,3322.44
103,G7,3135.96
102,F#7,2959.96
101,F7,2793.83
100,E7,2637.02
99,D#7,2489.02
98,D7,2349.32
97,C#7,2217.46
96,C7,2093
95,B6,1975.53
94,Bb6,1864.66
93,A6,1760
92,G#6,1661.22
91,G6,1567.98
90,F#6,1479.98
89,F6,1396.91
88,E6,1318.51
87,D#6,1244.51
86,D6,1174.66
85,C#6,1108.73
84,C6,1046.5
83,B5,987.77
82,Bb5,932.33
81,A5,880
80,G#5,830.61
79,G5,783.99
78,F#5,739.99
77,F5,698.46
76,E5,659.26
75,D#5,622.25
74,D5,587.33
73,C#5,554.37
72,C5,523.25
71,B4,493.88
70,Bb4,466.16
69,A4,440
68,G#4,415.3
67,G4,392
66,F#4,369.99
65,F4,349.23
64,E4,329.63
63,D#4,311.13
62,D4,293.66
61,C#4,277.18
60,C4,261.63
59,B3,246.94
58,Bb3,233.08
57,A3,220
56,G#3,207.65
55,G3,196
54,F#3,185
53,F3,174.61
52,E3,164.81
51,D#3,155.56
50,D3,146.83
49,C#3,138.59
48,C3,130.81
47,B2,123.47
46,Bb2,116.54
45,A2,110
44,G#2,103.83
43,G2,98
42,F#2,92.5
41,F2,87.31
40,E2,82.41
39,D#2,77.78
38,D2,73.42
37,C#2,69.3
36,C2,65.41
35,B1,61.74
34,Bb1,58.27
33,A1,55
32,G#1,51.91
31,G1,49
30,F#1,46.25
29,F1,43.65
28,E1,41.2
27,D#1,38.89
26,D1,36.71
25,C#1,34.65
24,C1,32.7
23,B0,30.87
22,Bb0,29.14
21,A0,27.5
20,,25.96
19,,24.5
18,,23.12
17,,21.83
16,,20.6
15,,19.45
14,,18.35
13,,17.32
12,,16.35
11,,15.43
10,,14.57
9,,13.75
8,,12.98
7,,12.25
6,,11.56
5,,10.91
4,,10.3
3,,9.72
2,,9.18
1,,8.66
0,,8.18
